 woman)",SP.DYN.TFRT.IN,1960,2.6012305854688798
Euro area,EMU,Fixed telephone subscriptions,IT.MLT.MAIN,1960,13019254.0
Euro area,EMU,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,1960,5.023511322229179
Euro area,EMU,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,1960,94.02150650561849
Euro area,EMU,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,1960,2491732774717.28
Euro area,EMU,GDP at market prices (current US$),NY.GDP.MKTP.CD,1960,245378012622.69897
Euro area,EMU,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,1960,9388.71750504833
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,924.5713929841879
Euro area,EMU,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,1960,13.950407859311198
Euro area,EMU,General government final consumption expenditure (constant 2005 US$),NE.CON.GOVT.KD,1960,548659811737.349
Euro area,EMU,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,1960,36505861484.4009
Euro area,EMU,GNI (constant 2005 US$),NY.GNP.MKTP.KD,1960,2513602219078.33
Euro area,EMU,GNI (current US$),NY.GNP.MKTP.CD,1960,247265503596.26898
Euro area,EMU,GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,1960,9471.120416460692
Euro area,EMU,Gross domestic income (constant 2005 US$),NY.GDY.TOTL.KD,1960,1620200493566.37
Euro area,EMU,Gross national expenditure (constant 2005 US$),NE.DAB.TOTL.KD,1960,2491729668484.69
Euro area,EMU,Gross national expenditure (current US$),NE.DAB.TOTL.CD,1960,245403852775.776
Euro area,EMU,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,1960,18.0209776964223
Euro area,EMU,Imports of goods and services (constant 2005 US$),NE.IMP.GNFS.KD,1960,237390399476.35
Euro area,EMU,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1960,42212518137.3512
Euro area,EMU,International migrant stock (% of population),SM.POP.TOTL.ZS,1960,3.3993631818828396
Euro area,EMU,"International migrant stock, total",SM.POP.TOTL,1960,6146651.0
Euro area,EMU,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,1960,72.06325353405991
Euro area,EMU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,1960,66.62202519130689
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,69.2737110112599
Euro area,EMU,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1960,34790408252.1972
Euro area,EMU,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,1960,29696090000.0
Euro area,EMU,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,1960,12.217433338867199
Euro area,EMU,Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,1960,1.90799529500348
Euro area,EMU,Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,1960,3.0253141070087004
Euro area,EMU,Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1960,7.8626512783332805
Euro area,EMU,Merchandise exports to developing economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,1960,1.67294751598611
Euro area,EMU,Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1960,4.30221621769061
Euro area,EMU,Merchandise exports to developing economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,1960,20.0840918787625
Euro area,EMU,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,1960,7.62726675464682
Euro area,EMU,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,1960,67.6984747823703
